domain,query_path,language,title,url,response_code,num_links,score
en.wikipedia.org,,en,Wikipedia:Identifying and using independent sources - Wikipedia,https://en.wikipedia.org/wiki/Wikipedia:Independent_sources,200,522,1
sr.wikipedia.org,,sr,"Кошћушко (национални парк) — Википедија, слободна енциклопедија",https://sr.wikipedia.org/wiki/%D0%9A%D0%BE%D1%88%D1%9B%D1%83%D1%88%D0%BA%D0%BE_(%D0%BD%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D0%BD%D0%B8_%D0%BF%D0%B0%D1%80%D0%BA),200,83,0
en.wikipedia.org,,en,List of business entities - Wikipedia,https://en.wikipedia.org/wiki/Types_of_business_entity,200,1533,1
en.wikipedia.org,,en,Wikipedia:Identifying reliable sources - Wikipedia,https://en.wikipedia.org/wiki/Wikipedia:Identifying_reliable_sources,200,638,1
zh.wikipedia.org,,zh,维基百科:合并和移动页面 - 维基百科，自由的百科全书,https://zh.wikipedia.org/wiki/Wikipedia:%E5%90%88%E5%B9%B6%E5%92%8C%E7%A7%BB%E5%8A%A8%E9%A1%B5%E9%9D%A2,200,150,0
en.wikipedia.org,,en,Canberra - Wikipedia,https://en.wikipedia.org/wiki/Canberra,200,2739,1
en.wikipedia.org,,en,UTC+11:00 - Wikipedia,https://en.wikipedia.org/wiki/UTC%2B11:00,200,312,1
en.wikipedia.org,,en,File:Parliamenthouse2.jpg - Wikipedia,https://en.wikipedia.org/wiki/File:Parliamenthouse2.jpg,200,104,1
en.wikipedia.org,,en,Carbon tax - Wikipedia,https://en.wikipedia.org/wiki/Carbon_tax,200,1682,1
sk.wikipedia.org,,sk,Wikipédia:Presmerovanie – Wikipédia,https://sk.wikipedia.org/wiki/Wikip%C3%A9dia:Presmerovanie,200,100,0
en.wikipedia.org,,en,Coaching - Wikipedia,https://en.wikipedia.org/wiki/Coaching,200,435,1
en.wikipedia.org,,en,Saint Kitts and Nevis - Wikipedia,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis,200,1256,1
en.wikipedia.org,,en,United Kingdom Hydrographic Office - Wikipedia,https://en.wikipedia.org/wiki/United_Kingdom_Hydrographic_Office,200,517,1
en.wikipedia.org,,en,Wikipedia:Featured articles - Wikipedia,https://en.wikipedia.org/wiki/Wikipedia:Featured_articles,200,5379,1
en.wikipedia.org,,en,Limited liability partnership - Wikipedia,https://en.wikipedia.org/wiki/Limited_liability_partnership,200,333,1
zh.wikipedia.org,,zh,维基百科:特色条目 - 维基百科，自由的百科全书,https://zh.wikipedia.org/wiki/Wikipedia:%E7%89%B9%E8%89%B2%E6%9D%A1%E7%9B%AE,200,930,0
zh.wikipedia.org,,zh,有限责任合伙 - 维基百科，自由的百科全书,https://zh.wikipedia.org/wiki/%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%90%88%E4%BC%99,200,164,0
en.wikipedia.org,,en,Template talk:Business administration - Wikipedia,https://en.wikipedia.org/wiki/Template_talk:Business_administration,200,63,1
en.wikipedia.org,,en,Wikipedia:Dispute resolution - Wikipedia,https://en.wikipedia.org/wiki/Wikipedia:Resolving_disputes,200,574,1
en.wikipedia.org,,en,User group rights - Wikipedia,https://en.wikipedia.org/wiki/Special:ListGroupRights,200,156,1
zh.wikipedia.org,,zh,维基百科:争论的解决 - 维基百科，自由的百科全书,https://zh.wikipedia.org/wiki/Wikipedia:%E4%BA%89%E8%AE%BA%E7%9A%84%E8%A7%A3%E5%86%B3,200,803,0
fa.wikipedia.org,,fa,شرکت با مسئولیت محدود - ویکی‌پدیا، دانشنامهٔ آزاد,https://fa.wikipedia.org/wiki/%D8%B4%D8%B1%DA%A9%D8%AA_%D8%A8%D8%A7_%D9%85%D8%B3%D8%A6%D9%88%D9%84%DB%8C%D8%AA_%D9%85%D8%AD%D8%AF%D9%88%D8%AF,200,177,0
en.wikipedia.org,,en,Wikipedia:Article wizard/Redirect - Wikipedia,https://en.wikipedia.org/wiki/Wikipedia:Article_wizard/Redirect,200,93,1
zh.wikipedia.org,,zh,维基百科:边缘学说 - 维基百科，自由的百科全书,https://zh.wikipedia.org/wiki/Wikipedia:%E8%BE%B9%E7%BC%98%E5%AD%A6%E8%AF%B4,200,563,0
en.wikipedia.org,,en,MediaWiki - Wikipedia,https://en.wikipedia.org/wiki/MediaWiki,200,1273,1
en.wikipedia.org,,en,Lavanify - Wikipedia,https://en.wikipedia.org/wiki/Lavanify,200,248,1
zh.wikipedia.org,,zh,维基百科:直言不讳 - 维基百科，自由的百科全书,https://zh.wikipedia.org/wiki/Wikipedia:%E7%9B%B4%E8%A8%80%E4%B8%8D%E8%AE%B3,200,476,0
en.wikipedia.org,,en,Armillaria gallica - Wikipedia,https://en.wikipedia.org/wiki/Armillaria_gallica,200,725,1
en.wikipedia.org,,en,John Douglas (architect) - Wikipedia,https://en.wikipedia.org/wiki/John_Douglas_(architect),200,952,1
en.wikipedia.org,,en,Manhunter (film) - Wikipedia,https://en.wikipedia.org/wiki/Manhunter_(film),200,851,1
en.wikipedia.org,,en,"Changes related to ""Template talk:Business administration"" - Wikipedia",https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Template_talk:Business_administration,200,170,1
en.wikipedia.org,,en,Ring-tailed lemur - Wikipedia,https://en.wikipedia.org/wiki/Ring-tailed_lemur,200,1240,1
en.wikipedia.org,,en,"Pages that link to ""Template talk:Business administration"" - Wikipedia",https://en.wikipedia.org/wiki/Special:WhatLinksHere/Template_talk:Business_administration,200,207,1
en.wikipedia.org,,en,"Hillsboro, Oregon - Wikipedia","https://en.wikipedia.org/wiki/Hillsboro,_Oregon",200,1485,1
en.wikipedia.org,,en,David I of Scotland - Wikipedia,https://en.wikipedia.org/wiki/David_I_of_Scotland,200,1058,1
en.wikipedia.org,,en,Users - Wikipedia,https://en.wikipedia.org/wiki/Special:ListUsers,200,213,1
en.wikipedia.org,,en,Archaea - Wikipedia,https://en.wikipedia.org/wiki/Archaea,200,2605,1
en.wikipedia.org,,en,Internet bot - Wikipedia,https://en.wikipedia.org/wiki/Internet_bot,200,244,1
en.wikipedia.org,,en,Mark Hanna - Wikipedia,https://en.wikipedia.org/wiki/Mark_Hanna,200,1594,1
en.wikipedia.org,,en,File:AcaWiki Semantic Forms screenshot.png - Wikipedia,https://en.wikipedia.org/wiki/File:AcaWiki_Semantic_Forms_screenshot.png,200,72,1
en.wikipedia.org,,en,Helianthus - Wikipedia,https://en.wikipedia.org/wiki/Sunflower,200,535,1
zh.wikipedia.org,,zh,納古菌門 - 维基百科，自由的百科全书,https://zh.wikipedia.org/wiki/%E7%B4%8D%E5%8F%A4%E8%8F%8C%E9%96%80,200,186,0
en.wikipedia.org,,en,Diocletian - Wikipedia,https://en.wikipedia.org/wiki/Diocletian,200,1858,1
en.wikipedia.org,,en,Laryngitis - Wikipedia,https://en.wikipedia.org/wiki/Laryngitis,200,840,1
en.wikipedia.org,,en,DPANN - Wikipedia,https://en.wikipedia.org/wiki/DPANN,200,194,1
