detected_language,url,response_code,num_links,response_type,declared_language
en,https://en.wikipedia.org/wiki/Special:UserRights/Ivan.Yanakiev,200,41,HTML,en
zh,https://zh.wikipedia.org/wiki/Wikipedia:%E4%B8%8D%E8%A6%81%E5%8C%85%E5%90%AB%E5%8E%9F%E5%A7%8B%E8%B5%84%E6%96%99%E7%9A%84%E5%89%AF%E6%9C%AC,200,255,HTML,zh
,http://www.ivap.euskadi.eus/contenidos/ds_general/catalogo_datos_opendata/opendata/federador_datos.rdf,200,,XML,
en,https://en.wikipedia.org/wiki/Special:Log/Ivan.Yanakiev,200,44,HTML,en
en,https://et.wikipedia.org/wiki/Vikipeedia:T%C3%B6%C3%B6riistad/HotCat,200,133,HTML,et
en,https://www.mediawiki.org/wiki/Special:MyLanguage/Help:Log,200,84,HTML,en
en,https://en.wikipedia.org/wiki/Special:RecentChangesLinked/User_talk:Ivan.Yanakiev,200,106,HTML,en
en,https://simple.wikipedia.org/wiki/Category:Clean_up_categories_from_January_2011,200,198,HTML,en
en,https://en.wikipedia.org/wiki/Special:WhatLinksHere/User_talk:Ivan.Yanakiev,200,61,HTML,en
en,https://en.wikipedia.org/wiki/Category:User_talk_pages_with_conflict_of_interest_notices,200,305,HTML,en
en,https://en.wikipedia.org/wiki/User_talk:Melcous,200,194,HTML,en
,https://simple.wikipedia.org/wiki/Special:RecentChangesLinked/Category:Clean_up_categories_from_January_2011,404,,SpiderException -- Ignoring non-200 response,
en,https://en.wikipedia.org/wiki/User:Melcous,200,169,HTML,en
en,https://rdap.lacnic.net/rdap-web/ip?key=93.44.108.184,200,5,HTML,en
en,https://en.wikipedia.org/wiki/Wikipedia:Core_content_policies,200,447,HTML,en
,https://www.amazon.com/Changing-Minds-Science-Peoples-Leadership/dp/1422103293/ref=sr_1_1?ie=UTF8&s=books&qid=1274285138&sr=1-1,503,,SpiderException -- Ignoring non-200 response,
en,https://en.wikipedia.org/wiki/Talk:LGBT_characters_in_video_games,200,408,HTML,en
zh,https://zh.wikipedia.org/wiki/Wikipedia:%E6%A0%B8%E5%BF%83%E5%86%85%E5%AE%B9%E6%96%B9%E9%92%88,200,278,HTML,zh
en,https://en.wikipedia.org/wiki/Wikipedia:Autoconfirmed_users,200,994,HTML,en
en,https://simple.wikipedia.org/wiki/Special:WhatLinksHere/Category:Clean_up_categories_from_January_2011,200,201,HTML,en
en,https://en.wikipedia.org/wiki/Special:Contributions/Dinithi2,200,324,HTML,en
yi,https://yi.wikipedia.org/wiki/%D7%B0%D7%99%D7%A7%D7%99%D7%A4%D6%BC%D7%A2%D7%93%D7%99%D7%A2:%D7%A7%D7%90%D7%A4%D7%99%D7%A8%D7%98_%D7%A0%D7%99%D7%A9%D7%98_%D7%A7%D7%99%D7%99%D7%9F_%D7%9E%D7%A7%D7%95%D7%A8%D7%95%D7%AA,200,71,HTML,yi
sl,https://sl.wikipedia.org/wiki/Kategorija:Uporabni%C5%A1ke_pogovorne_strani_z_obvestilom_Ou-koi,200,220,HTML,sl
en,https://en.wikipedia.org/wiki/Special:UserRights/Melcous,200,62,HTML,en
en,https://it.wikipedia.org/wiki/Categoria:Lavoro_sporco_-_gennaio_2011,200,61,HTML,it
en,https://simple.wikipedia.org/wiki/Category:BLPs_needing_more_sources_from_January_2011,200,139,HTML,en
en,https://en.wikipedia.org/wiki/Special:RecentChangesLinked/User_talk:Melcous,200,415,HTML,en
en,https://no.wikipedia.org/wiki/Wikipedia:Innholdspolitikk,200,67,HTML,nb
gu,https://gu.wikipedia.org/wiki/%E0%AA%B5%E0%AA%BF%E0%AA%95%E0%AA%BF%E0%AA%AA%E0%AB%80%E0%AA%A1%E0%AA%BF%E0%AA%AF%E0%AA%BE:%E0%AA%A8%E0%AB%80%E0%AA%A4%E0%AA%BF,200,62,HTML,gu
en,https://en.wikipedia.org/wiki/Special:RecentChangesLinked/User:Melcous,200,208,HTML,en
en,https://meta.wikimedia.org/wiki/Special:CentralAuth/Dinithi2,200,56,HTML,en
en,http://www.bauer-media.com.au/divisions/trader-group,200,133,HTML,en
en,https://en.wikipedia.org/wiki/Wikipedia:WikiNode,200,184,HTML,en
en,https://gu.wikipedia.org/wiki/%E0%AA%B5%E0%AA%BF%E0%AA%95%E0%AA%BF%E0%AA%AA%E0%AB%80%E0%AA%A1%E0%AA%BF%E0%AA%AF%E0%AA%BE:%E0%AA%B8%E0%AA%BE%E0%AA%A7%E0%AA%BE%E0%AA%B0%E0%AA%A3_%E0%AA%87%E0%AA%A8%E0%AA%95%E0%AA%BE%E0%AA%B0,200,41,HTML,gu
en,https://en.wikipedia.org/wiki/Special:Log/Melcous,200,287,HTML,en
nl,https://zea.wikipedia.org/wiki/Wikipedia:Speciaole_gebrukersrechten,200,405,HTML,zea
yi,https://yi.wikipedia.org/wiki/%D7%99%D7%95%D7%A1%D7%A3_%D7%99%D7%95%D7%90%D7%9C_%D7%A7%D7%90%D7%94%D7%9F,200,56,HTML,yi
gu,https://gu.wikipedia.org/wiki/%E0%AA%B5%E0%AA%BF%E0%AA%95%E0%AA%BF%E0%AA%AA%E0%AB%80%E0%AA%A1%E0%AA%BF%E0%AA%AF%E0%AA%BE:%E0%AA%B5%E0%AA%BF%E0%AA%B7%E0%AB%87,200,331,HTML,gu
en,https://en.wikipedia.org/wiki/User:AvicBot/coi,200,16967,HTML,en
en,https://en.wikipedia.org/wiki/Wikipedia:Administrators%27_guide/Granting_and_revoking_user_rights,200,298,HTML,en
